date,home,away,winner,loser,winner_pts,loser_pts
2026-04-17,Houston Astros,St. Louis Cardinals,St. Louis Cardinals,Houston Astros,9,4
2026-04-17,Minnesota Twins,Cincinnati Reds,Cincinnati Reds,Minnesota Twins,2,1
2026-04-17,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,7,1
2026-04-17,Los Angeles Angels,San Diego Padres,Los Angeles Angels,San Diego Padres,8,0
2026-04-17,Seattle Mariners,Texas Rangers,Texas Rangers,Seattle Mariners,5,0
2026-04-17,Arizona Diamondbacks,Toronto Blue Jays,Arizona Diamondbacks,Toronto Blue Jays,6,3
2026-04-17,Athletics,Chicago White Sox,Chicago White Sox,Athletics,9,2
2026-04-18,New York Yankees,Kansas City Royals,New York Yankees,Kansas City Royals,13,4
2026-04-18,Minnesota Twins,Cincinnati Reds,Cincinnati Reds,Minnesota Twins,5,4
2026-04-18,Chicago Cubs,New York Mets,Chicago Cubs,New York Mets,4,2
2026-04-18,Pittsburgh Pirates,Tampa Bay Rays,Tampa Bay Rays,Pittsburgh Pirates,8,7
2026-04-18,Washington Nationals,San Francisco Giants,San Francisco Giants,Washington Nationals,7,6
2026-04-18,Athletics,Chicago White Sox,Athletics,Chicago White Sox,7,6
2026-04-18,Boston Red Sox,Detroit Tigers,Detroit Tigers,Boston Red Sox,4,1
2026-04-18,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,Miami Marlins,5,2
2026-04-18,Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,Baltimore Orioles,4,2
2026-04-18,Houston Astros,St. Louis Cardinals,St. Louis Cardinals,Houston Astros,7,5
2026-04-18,Seattle Mariners,Texas Rangers,Seattle Mariners,Texas Rangers,7,3
2026-04-18,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,Philadelphia Phillies,3,1
2026-04-18,Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,4,3
2026-04-18,Arizona Diamondbacks,Toronto Blue Jays,Arizona Diamondbacks,Toronto Blue Jays,6,2
2026-04-18,Los Angeles Angels,San Diego Padres,San Diego Padres,Los Angeles Angels,4,1
2026-04-19,Washington Nationals,San Francisco Giants,Washington Nationals,San Francisco Giants,3,0
2026-04-19,Pittsburgh Pirates,Tampa Bay Rays,Pittsburgh Pirates,Tampa Bay Rays,6,3
2026-04-19,New York Yankees,Kansas City Royals,New York Yankees,Kansas City Royals,7,0
2026-04-19,Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,Baltimore Orioles,8,4
2026-04-19,Miami Marlins,Milwaukee Brewers,Miami Marlins,Milwaukee Brewers,5,3
2026-04-19,Houston Astros,St. Louis Cardinals,St. Louis Cardinals,Houston Astros,7,5
2026-04-19,Minnesota Twins,Cincinnati Reds,Cincinnati Reds,Minnesota Twins,7,4
2026-04-19,Chicago Cubs,New York Mets,Chicago Cubs,New York Mets,2,1
2026-04-19,Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,9,6
2026-04-19,Athletics,Chicago White Sox,Chicago White Sox,Athletics,7,4
2026-04-19,Los Angeles Angels,San Diego Padres,San Diego Padres,Los Angeles Angels,2,1
2026-04-19,Seattle Mariners,Texas Rangers,Seattle Mariners,Texas Rangers,5,2
2026-04-19,Arizona Diamondbacks,Toronto Blue Jays,Toronto Blue Jays,Arizona Diamondbacks,10,4
2026-04-19,Boston Red Sox,Detroit Tigers,Detroit Tigers,Boston Red Sox,6,2
2026-04-19,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,Philadelphia Phillies,4,2
2026-04-20,Boston Red Sox,Detroit Tigers,Boston Red Sox,Detroit Tigers,8,6
2026-04-20,Cleveland Guardians,Houston Astros,Houston Astros,Cleveland Guardians,9,2
2026-04-20,Tampa Bay Rays,Cincinnati Reds,Cincinnati Reds,Tampa Bay Rays,6,1
2026-04-20,Miami Marlins,St. Louis Cardinals,Miami Marlins,St. Louis Cardinals,5,3
2026-04-20,Washington Nationals,Atlanta Braves,Atlanta Braves,Washington Nationals,9,4
2026-04-20,Kansas City Royals,Baltimore Orioles,Baltimore Orioles,Kansas City Royals,7,5
2026-04-20,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,5,1
2026-04-20,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,12,3
2026-04-20,Los Angeles Angels,Toronto Blue Jays,Toronto Blue Jays,Los Angeles Angels,5,2
2026-04-20,Seattle Mariners,Athletics,Athletics,Seattle Mariners,6,4
2026-04-21,Cleveland Guardians,Houston Astros,Cleveland Guardians,Houston Astros,8,5
2026-04-21,Tampa Bay Rays,Cincinnati Reds,Cincinnati Reds,Tampa Bay Rays,12,6
2026-04-21,Miami Marlins,St. Louis Cardinals,St. Louis Cardinals,Miami Marlins,5,3
2026-04-21,Detroit Tigers,Milwaukee Brewers,Milwaukee Brewers,Detroit Tigers,12,4
2026-04-21,Washington Nationals,Atlanta Braves,Washington Nationals,Atlanta Braves,11,4
2026-04-21,Boston Red Sox,New York Yankees,New York Yankees,Boston Red Sox,4,0
2026-04-21,New York Mets,Minnesota Twins,Minnesota Twins,New York Mets,5,3
2026-04-21,Kansas City Royals,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,6,5
2026-04-21,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,7,4
2026-04-21,Texas Rangers,Pittsburgh Pirates,Texas Rangers,Pittsburgh Pirates,5,1
2026-04-21,Colorado Rockies,San Diego Padres,San Diego Padres,Colorado Rockies,1,0
2026-04-21,Los Angeles Angels,Toronto Blue Jays,Toronto Blue Jays,Los Angeles Angels,4,2
2026-04-21,Seattle Mariners,Athletics,Athletics,Seattle Mariners,5,2
2026-04-21,Arizona Diamondbacks,Chicago White Sox,Chicago White Sox,Arizona Diamondbacks,11,5
2026-04-21,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,3,1
2026-04-22,Miami Marlins,St. Louis Cardinals,Miami Marlins,St. Louis Cardinals,4,1
2026-04-22,Cleveland Guardians,Houston Astros,Houston Astros,Cleveland Guardians,2,0
2026-04-22,Tampa Bay Rays,Cincinnati Reds,Tampa Bay Rays,Cincinnati Reds,6,1
2026-04-22,Kansas City Royals,Baltimore Orioles,Baltimore Orioles,Kansas City Royals,8,6
2026-04-22,Los Angeles Angels,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,7,3
2026-04-22,Seattle Mariners,Athletics,Seattle Mariners,Athletics,5,4
2026-04-22,Detroit Tigers,Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,5,2
2026-04-22,Washington Nationals,Atlanta Braves,Atlanta Braves,Washington Nationals,8,6
2026-04-22,Boston Red Sox,New York Yankees,New York Yankees,Boston Red Sox,4,1
2026-04-22,New York Mets,Minnesota Twins,New York Mets,Minnesota Twins,3,2
2026-04-22,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,7,2
2026-04-22,Texas Rangers,Pittsburgh Pirates,Pittsburgh Pirates,Texas Rangers,8,4
2026-04-22,Colorado Rockies,San Diego Padres,Colorado Rockies,San Diego Padres,8,3
2026-04-22,Arizona Diamondbacks,Chicago White Sox,Arizona Diamondbacks,Chicago White Sox,11,7
2026-04-22,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,3,0
2026-04-23,Washington Nationals,Atlanta Braves,Atlanta Braves,Washington Nationals,7,2
2026-04-23,Detroit Tigers,Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,5,4
2026-04-23,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,8,7
2026-04-23,Colorado Rockies,San Diego Padres,San Diego Padres,Colorado Rockies,10,8
2026-04-23,Arizona Diamondbacks,Chicago White Sox,Chicago White Sox,Arizona Diamondbacks,4,1
2026-04-23,San Francisco Giants,Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,3,0
2026-04-23,Boston Red Sox,New York Yankees,New York Yankees,Boston Red Sox,4,2
2026-04-23,New York Mets,Minnesota Twins,New York Mets,Minnesota Twins,10,8
2026-04-23,Texas Rangers,Pittsburgh Pirates,Texas Rangers,Pittsburgh Pirates,6,1
2026-04-24,Cincinnati Reds,Detroit Tigers,Cincinnati Reds,Detroit Tigers,9,8
2026-04-24,Baltimore Orioles,Boston Red Sox,Baltimore Orioles,Boston Red Sox,10,3
2026-04-24,Toronto Blue Jays,Cleveland Guardians,Cleveland Guardians,Toronto Blue Jays,8,6
2026-04-24,New York Mets,Colorado Rockies,Colorado Rockies,New York Mets,4,3
2026-04-24,Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,Minnesota Twins,6,2
2026-04-24,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,5,3
2026-04-24,Kansas City Royals,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,6,3
2026-04-24,Chicago White Sox,Washington Nationals,Chicago White Sox,Washington Nationals,5,4
2026-04-24,Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates,Milwaukee Brewers,6,0
2026-04-24,Texas Rangers,Athletics,Athletics,Texas Rangers,8,1
2026-04-24,Houston Astros,New York Yankees,New York Yankees,Houston Astros,12,4
2026-04-24,St. Louis Cardinals,Seattle Mariners,Seattle Mariners,St. Louis Cardinals,3,2
2026-04-24,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs,Los Angeles Dodgers,6,4
2026-04-24,San Francisco Giants,Miami Marlins,Miami Marlins,San Francisco Giants,9,4
2026-04-25,Baltimore Orioles,Boston Red Sox,Boston Red Sox,Baltimore Orioles,11,1
2026-04-25,St. Louis Cardinals,Seattle Mariners,Seattle Mariners,St. Louis Cardinals,11,9
2026-04-25,Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,5,3
2026-04-25,San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,6,2
2026-04-25,Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,Minnesota Twins,6,1
2026-04-25,Chicago White Sox,Washington Nationals,Washington Nationals,Chicago White Sox,6,3
2026-04-25,Arizona Diamondbacks,San Diego Padres,San Diego Padres,Arizona Diamondbacks,6,4
2026-04-25,Texas Rangers,Athletics,Texas Rangers,Athletics,4,3
2026-04-25,Kansas City Royals,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,11,1
2026-04-25,Houston Astros,New York Yankees,New York Yankees,Houston Astros,8,3
2026-04-25,Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates,Milwaukee Brewers,6,3
2026-04-25,Cincinnati Reds,Detroit Tigers,Cincinnati Reds,Detroit Tigers,9,2
2026-04-25,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,12,4
2026-04-25,Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,Atlanta Braves,8,5
2026-04-26,Baltimore Orioles,Boston Red Sox,Boston Red Sox,Baltimore Orioles,5,3
2026-04-26,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,6,2
2026-04-26,Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,4,2
2026-04-26,Cincinnati Reds,Detroit Tigers,Detroit Tigers,Cincinnati Reds,8,3
2026-04-26,New York Mets,Colorado Rockies,Colorado Rockies,New York Mets,3,1
2026-04-26,New York Mets,Colorado Rockies,Colorado Rockies,New York Mets,3,0
2026-04-26,Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,Minnesota Twins,4,2
2026-04-26,Chicago White Sox,Washington Nationals,Washington Nationals,Chicago White Sox,2,1
2026-04-26,Houston Astros,New York Yankees,Houston Astros,New York Yankees,7,4
2026-04-26,Milwaukee Brewers,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,5,0
2026-04-26,St. Louis Cardinals,Seattle Mariners,Seattle Mariners,St. Louis Cardinals,3,2
2026-04-26,Texas Rangers,Athletics,Athletics,Texas Rangers,2,1
2026-04-26,Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,San Diego Padres,12,7
2026-04-26,San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,6,3
2026-04-26,Kansas City Royals,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,11,9
2026-04-26,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,6,0
2026-04-27,Cleveland Guardians,Tampa Bay Rays,Tampa Bay Rays,Cleveland Guardians,3,2
2026-04-27,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,Pittsburgh Pirates,4,2
2026-04-27,Toronto Blue Jays,Boston Red Sox,Boston Red Sox,Toronto Blue Jays,5,0
2026-04-27,Minnesota Twins,Seattle Mariners,Minnesota Twins,Seattle Mariners,11,4
2026-04-27,Chicago White Sox,Los Angeles Angels,Chicago White Sox,Los Angeles Angels,8,7
2026-04-27,Texas Rangers,New York Yankees,New York Yankees,Texas Rangers,4,2
2026-04-27,San Diego Padres,Chicago Cubs,San Diego Padres,Chicago Cubs,9,7
2026-04-27,Los Angeles Dodgers,Miami Marlins,Los Angeles Dodgers,Miami Marlins,5,4
2026-04-28,Cleveland Guardians,Tampa Bay Rays,Tampa Bay Rays,Cleveland Guardians,1,0
2026-04-28,Baltimore Orioles,Houston Astros,Baltimore Orioles,Houston Astros,5,3
2026-04-28,Cincinnati Reds,Colorado Rockies,Cincinnati Reds,Colorado Rockies,7,2
2026-04-28,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,Pittsburgh Pirates,11,7
2026-04-28,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,7,0
2026-04-28,Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,3,0
2026-04-28,New York Mets,Washington Nationals,New York Mets,Washington Nationals,8,0
2026-04-28,Atlanta Braves,Detroit Tigers,Atlanta Braves,Detroit Tigers,5,2
2026-04-28,Minnesota Twins,Seattle Mariners,Seattle Mariners,Minnesota Twins,7,1
2026-04-28,Chicago White Sox,Los Angeles Angels,Chicago White Sox,Los Angeles Angels,5,2
2026-04-28,Milwaukee Brewers,Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks,12,2
2026-04-28,Texas Rangers,New York Yankees,New York Yankees,Texas Rangers,3,2
2026-04-28,Athletics,Kansas City Royals,Kansas City Royals,Athletics,4,1
2026-04-28,San Diego Padres,Chicago Cubs,Chicago Cubs,San Diego Padres,8,3
2026-04-28,Los Angeles Dodgers,Miami Marlins,Miami Marlins,Los Angeles Dodgers,2,1
2026-04-29,Cleveland Guardians,Tampa Bay Rays,Cleveland Guardians,Tampa Bay Rays,3,1
2026-04-29,Chicago White Sox,Los Angeles Angels,Chicago White Sox,Los Angeles Angels,3,2
2026-04-29,Minnesota Twins,Seattle Mariners,Seattle Mariners,Minnesota Twins,5,3
2026-04-29,Texas Rangers,New York Yankees,Texas Rangers,New York Yankees,3,0
2026-04-29,Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,8,1
2026-04-29,Los Angeles Dodgers,Miami Marlins,Miami Marlins,Los Angeles Dodgers,3,2
2026-04-29,San Diego Padres,Chicago Cubs,Chicago Cubs,San Diego Padres,5,4
2026-04-29,Cincinnati Reds,Colorado Rockies,Colorado Rockies,Cincinnati Reds,12,2
2026-04-29,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,Pittsburgh Pirates,5,4
2026-04-29,New York Mets,Washington Nationals,Washington Nationals,New York Mets,12,2
2026-04-29,Atlanta Braves,Detroit Tigers,Atlanta Braves,Detroit Tigers,4,3
2026-04-29,Milwaukee Brewers,Arizona Diamondbacks,Arizona Diamondbacks,Milwaukee Brewers,6,2
2026-04-29,Athletics,Kansas City Royals,Athletics,Kansas City Royals,5,2
2026-04-30,Atlanta Braves,Detroit Tigers,Detroit Tigers,Atlanta Braves,5,2
2026-04-30,Baltimore Orioles,Houston Astros,Baltimore Orioles,Houston Astros,10,3
2026-04-30,Baltimore Orioles,Houston Astros,Houston Astros,Baltimore Orioles,11,5
2026-04-30,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,Pittsburgh Pirates,10,5
2026-04-30,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,3,2
2026-04-30,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,6,5
2026-04-30,Cincinnati Reds,Colorado Rockies,Cincinnati Reds,Colorado Rockies,6,4
2026-04-30,New York Mets,Washington Nationals,Washington Nationals,New York Mets,5,4
2026-04-30,Milwaukee Brewers,Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks,11,1
2026-04-30,Athletics,Kansas City Royals,Athletics,Kansas City Royals,6,3
2026-04-30,Minnesota Twins,Toronto Blue Jays,Minnesota Twins,Toronto Blue Jays,7,1
2026-05-01,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,6,5
2026-05-01,Detroit Tigers,Texas Rangers,Texas Rangers,Detroit Tigers,5,4
2026-05-01,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,9,1
2026-05-01,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,Washington Nationals,6,1
2026-05-01,New York Yankees,Baltimore Orioles,New York Yankees,Baltimore Orioles,7,2
2026-05-01,Boston Red Sox,Houston Astros,Boston Red Sox,Houston Astros,3,1
2026-05-01,Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,San Francisco Giants,3,0
2026-05-01,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,6,5
2026-05-01,Minnesota Twins,Toronto Blue Jays,Toronto Blue Jays,Minnesota Twins,7,3
2026-05-01,St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,7,2
2026-05-01,Colorado Rockies,Atlanta Braves,Atlanta Braves,Colorado Rockies,8,6
2026-05-01,Los Angeles Angels,New York Mets,New York Mets,Los Angeles Angels,4,3
2026-05-01,Athletics,Cleveland Guardians,Cleveland Guardians,Athletics,8,5
2026-05-01,San Diego Padres,Chicago White Sox,Chicago White Sox,San Diego Padres,8,2
2026-05-01,Seattle Mariners,Kansas City Royals,Kansas City Royals,Seattle Mariners,7,6
2026-05-02,New York Yankees,Baltimore Orioles,New York Yankees,Baltimore Orioles,9,4
2026-05-02,Minnesota Twins,Toronto Blue Jays,Toronto Blue Jays,Minnesota Twins,11,4
2026-05-02,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,2,0
2026-05-02,Athletics,Cleveland Guardians,Cleveland Guardians,Athletics,14,6
2026-05-02,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,17,7
2026-05-02,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,Washington Nationals,4,1
2026-05-02,Boston Red Sox,Houston Astros,Houston Astros,Boston Red Sox,6,3
2026-05-02,Miami Marlins,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,4,0
2026-05-02,Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,San Francisco Giants,5,1
2026-05-02,St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,3,2
2026-05-02,Detroit Tigers,Texas Rangers,Detroit Tigers,Texas Rangers,5,1
2026-05-02,Colorado Rockies,Atlanta Braves,Atlanta Braves,Colorado Rockies,9,1
2026-05-02,San Diego Padres,Chicago White Sox,Chicago White Sox,San Diego Padres,4,0
2026-05-02,Los Angeles Angels,New York Mets,Los Angeles Angels,New York Mets,4,3
2026-05-02,Seattle Mariners,Kansas City Royals,Kansas City Royals,Seattle Mariners,3,2
2026-05-03,Minnesota Twins,Toronto Blue Jays,Minnesota Twins,Toronto Blue Jays,4,3
2026-05-03,Boston Red Sox,Houston Astros,Houston Astros,Boston Red Sox,3,1
2026-05-03,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,1,0
2026-05-03,New York Yankees,Baltimore Orioles,New York Yankees,Baltimore Orioles,11,3
2026-05-03,Washington Nationals,Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,3,2
2026-05-03,Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,San Francisco Giants,2,1
2026-05-03,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,7,2
2026-05-03,St. Louis Cardinals,Los Angeles Dodgers,Los Angeles Dodgers,St. Louis Cardinals,4,1
2026-05-03,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,8,4
2026-05-03,Colorado Rockies,Atlanta Braves,Atlanta Braves,Colorado Rockies,11,6
2026-05-03,Athletics,Cleveland Guardians,Athletics,Cleveland Guardians,7,1
2026-05-03,Los Angeles Angels,New York Mets,New York Mets,Los Angeles Angels,5,1
2026-05-03,Seattle Mariners,Kansas City Royals,Kansas City Royals,Seattle Mariners,4,1
2026-05-03,San Diego Padres,Chicago White Sox,San Diego Padres,Chicago White Sox,4,3
2026-05-03,Detroit Tigers,Texas Rangers,Detroit Tigers,Texas Rangers,7,1
2026-05-04,Colorado Rockies,New York Mets,New York Mets,Colorado Rockies,4,2
2026-05-04,Detroit Tigers,Boston Red Sox,Boston Red Sox,Detroit Tigers,5,4
2026-05-04,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,5,1
2026-05-04,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,1,0
2026-05-04,New York Yankees,Baltimore Orioles,New York Yankees,Baltimore Orioles,11,1
2026-05-04,Chicago Cubs,Cincinnati Reds,Chicago Cubs,Cincinnati Reds,5,4
2026-05-04,Kansas City Royals,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,6,2
2026-05-04,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,6,3
2026-05-04,Houston Astros,Los Angeles Dodgers,Los Angeles Dodgers,Houston Astros,8,3
2026-05-04,Los Angeles Angels,Chicago White Sox,Chicago White Sox,Los Angeles Angels,6,0
2026-05-04,Seattle Mariners,Atlanta Braves,Seattle Mariners,Atlanta Braves,5,4
2026-05-04,San Francisco Giants,San Diego Padres,San Francisco Giants,San Diego Padres,3,2
2026-05-05,Detroit Tigers,Boston Red Sox,Boston Red Sox,Detroit Tigers,10,3
2026-05-05,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,4,3
2026-05-05,Philadelphia Phillies,Athletics,Philadelphia Phillies,Athletics,9,1
2026-05-05,Miami Marlins,Baltimore Orioles,Baltimore Orioles,Miami Marlins,9,7
2026-05-05,Washington Nationals,Minnesota Twins,Minnesota Twins,Washington Nationals,11,3
2026-05-05,New York Yankees,Texas Rangers,New York Yankees,Texas Rangers,7,4
2026-05-05,Chicago Cubs,Cincinnati Reds,Chicago Cubs,Cincinnati Reds,3,2
2026-05-05,Kansas City Royals,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,5,3
2026-05-05,Houston Astros,Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,2,1
2026-05-05,Los Angeles Angels,Chicago White Sox,Los Angeles Angels,Chicago White Sox,4,3
2026-05-05,Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh Pirates,9,0
2026-05-05,Seattle Mariners,Atlanta Braves,Atlanta Braves,Seattle Mariners,3,2
2026-05-05,San Francisco Giants,San Diego Padres,San Diego Padres,San Francisco Giants,10,5
